Name of Structure,Inflow_Discharge,Outflow_Discharge,River,Date
Taunsa,"158,775","133,869",Indus,15/06/2025 6:00
Tarbela Dam,"178,000","151,700",Indus,15/06/2025 6:00
Sulemanki,"14,862","2,654",Sutlej,15/06/2025 6:00
Sukkur,"80,240","32,400",Indus,15/06/2025 6:00
Sidhnai,"11,200",0,Ravi,15/06/2025 6:00
Rasul,"14,117",0,Jehlum,15/06/2025 6:00
Q.Abad,"34,601","16,101",Chenab,15/06/2025 6:00
Panjnad,"8,654",0,Chenab,15/06/2025 6:00
Marala,"59,401","27,571",Chenab,15/06/2025 6:00
Mangla Dam,"35,000","20,000",Jehlum,15/06/2025 6:00
Kotri,"50,735","15,780",Indus,15/06/2025 6:00
Khanki,"33,030","24,910",Chenab,15/06/2025 6:00
Kalabagh,"187,823","180,057",Indus,15/06/2025 6:00
KABUL,"24,700","24,700",Kabul,15/06/2025 6:00
Jassar,466,466,Ravi,15/06/2025 6:00
Islam,"1,800",0,Sutlej,15/06/2025 6:00
Guddu,"120,939","90,219",Indus,15/06/2025 6:00
Ganda Singh Wala,0,0,Sutlej,15/06/2025 6:00
Chashma,"192,904","178,424",Indus,15/06/2025 6:00
Balloki,"32,715","5,765",Ravi,15/06/2025 6:00
Trimmu,"37,455","20,155",Chenab,15/06/2025 18:00
Taunsa,"162,421","133,621",Indus,15/06/2025 18:00
Tarbela Dam,"178,000","151,400",Indus,15/06/2025 18:00
Sulemanki,"16,001","2,844",Sutlej,15/06/2025 18:00
Sukkur,"80,240","32,400",Indus,15/06/2025 18:00
Sidhnai,"15,550",0,Ravi,15/06/2025 18:00
Shahdara,"13,306","13,306",Ravi,15/06/2025 18:00
Rasul,"24,402","9,341",Jehlum,15/06/2025 18:00
Q.Abad,"18,532",0,Chenab,15/06/2025 18:00
Panjnad,"22,862","9,062",Chenab,15/06/2025 18:00
Marala,"42,137","11,512",Chenab,15/06/2025 18:00
Mangla Dam,"35,000","20,000",Jehlum,15/06/2025 18:00
Kotri,"50,735","15,780",Indus,15/06/2025 18:00
Khanki,"10,055","1,866",Chenab,15/06/2025 18:00
Kalabagh,"140,206","132,590",Indus,15/06/2025 18:00
KABUL,"23,200","23,200",Kabul,15/06/2025 18:00
Jassar,"1,378","1,378",Ravi,15/06/2025 18:00
Islam,"3,727","1,277",Sutlej,15/06/2025 18:00
Guddu,"120,939","90,219",Indus,15/06/2025 18:00
Ganda Singh Wala,300,360,Sutlej,15/06/2025 18:00
Chashma,"189,715","175,235",Indus,15/06/2025 18:00
Balloki,"31,790","5,290",Ravi,15/06/2025 18:00
Taunsa,"158,775","133,869",Indus,16/06/2025 6:00
Tarbela Dam,"178,000","152,000",Indus,16/06/2025 6:00
Sulemanki,"16,000","2,870",Sutlej,16/06/2025 6:00
Sukkur,"83,300","33,560",Indus,16/06/2025 6:00
Sidhnai,"15,650",0,Ravi,16/06/2025 6:00
Shahdara,"13,304","13,304",Ravi,16/06/2025 6:00
Rasul,"24,401","5,340",Jehlum,16/06/2025 6:00
Q.Abad,"44,882","26,182",Chenab,16/06/2025 6:00
Panjnad,"21,862",0,Chenab,16/06/2025 6:00
Marala,"58,421","27,571",Chenab,16/06/2025 6:00
Mangla Dam,"33,000","15,000",Jehlum,16/06/2025 6:00
Kotri,"46,370","11,045",Indus,16/06/2025 6:00
Khanki,"36,370","28,193",Chenab,16/06/2025 6:00
Kalabagh,"140,206","132,590",Indus,16/06/2025 6:00
KABUL,"22,400","22,400",Kabul,16/06/2025 6:00
Jassar,"1,370","1,370",Ravi,16/06/2025 6:00
Islam,"3,527",0,Sutlej,16/06/2025 6:00
Guddu,"120,764","90,219",Indus,16/06/2025 6:00
Ganda Singh Wala,300,360,Sutlej,16/06/2025 6:00
Chashma,"187,521","174,347",Indus,16/06/2025 6:00
Balloki,"32,640","6,340",Ravi,16/06/2025 6:00
Taunsa,"162,605","137,105",Indus,16/06/2025 12:00
Tarbela Dam,"175,000","151,700",Indus,16/06/2025 12:00
Sulemanki,"14,494","2,987",Sutlej,16/06/2025 12:00
Sukkur,"84,270","35,620",Indus,16/06/2025 12:00
Sidhnai,"14,700",0,Ravi,16/06/2025 12:00
Shahdara,"13,304","13,304",Ravi,16/06/2025 12:00
Rasul,"14,497",0,Jehlum,16/06/2025 12:00
Q.Abad,"34,601","16,101",Chenab,16/06/2025 12:00
Panjnad,"7,500",0,Chenab,16/06/2025 12:00
Marala,"46,136","15,286",Chenab,16/06/2025 12:00
Mangla Dam,"33,000","15,000",Jehlum,16/06/2025 12:00
Kotri,"46,370","11,045",Indus,16/06/2025 12:00
Khanki,"11,056","1,860",Chenab,16/06/2025 12:00
Kalabagh,"194,070","186,304",Indus,16/06/2025 12:00
KABUL,"22,800","22,800",Kabul,16/06/2025 12:00
Jassar,376,376,Ravi,16/06/2025 12:00
Islam,"1,650",0,Sutlej,16/06/2025 12:00
Guddu,"120,764","90,219",Indus,16/06/2025 12:00
Ganda Singh Wala,300,360,Sutlej,16/06/2025 12:00
Chashma,"189,414","174,934",Indus,16/06/2025 12:00
Balloki,"32,640","6,340",Ravi,16/06/2025 12:00
Taunsa,"162,605","137,105",Indus,16/06/2025 18:00
Sulemanki,"14,494","2,987",Sutlej,16/06/2025 18:00
Sukkur,"84,740","35,800",Indus,16/06/2025 18:00
Sidhnai,"15,500",0,Ravi,16/06/2025 18:00
Shahdara,"13,304","13,304",Ravi,16/06/2025 18:00
Rasul,"14,497",0,Jehlum,16/06/2025 18:00
Q.Abad,"30,812","12,312",Chenab,16/06/2025 18:00
Panjnad,"7,500",0,Chenab,16/06/2025 18:00
Marala,"61,232","30,382",Chenab,16/06/2025 18:00
Mangla Dam,"30,000","15,000",Jehlum,16/06/2025 18:00
Khanki,"43,242","35,042",Chenab,16/06/2025 18:00
Kalabagh,"194,070","186,304",Indus,16/06/2025 18:00
Jassar,376,376,Ravi,16/06/2025 18:00
Islam,"1,650",0,Sutlej,16/06/2025 18:00
Guddu,"121,373","90,219",Indus,16/06/2025 18:00
Ganda Singh Wala,300,360,Sutlej,16/06/2025 18:00
Chashma,"189,414","174,934",Indus,16/06/2025 18:00
Balloki,"32,170","6,340",Ravi,16/06/2025 18:00
Taunsa,"162,605","137,105",Indus,17/06/2025 0:00
Sulemanki,"14,161","2,654",Sutlej,17/06/2025 0:00
Sukkur,"84,740","35,800",Indus,17/06/2025 0:00
Sidhnai,"15,500",0,Ravi,17/06/2025 0:00
Shahdara,"13,304","13,304",Ravi,17/06/2025 0:00
Rasul,"11,751",0,Jehlum,17/06/2025 0:00
Q.Abad,"34,601","16,101",Chenab,17/06/2025 0:00
Panjnad,"7,500",0,Chenab,17/06/2025 0:00
Marala,"61,282","30,382",Chenab,17/06/2025 0:00
Mangla Dam,"25,000","15,000",Jehlum,17/06/2025 0:00
Kalabagh,"176,756","168,990",Indus,17/06/2025 0:00
Jassar,376,376,Ravi,17/06/2025 0:00
Islam,"1,650",0,Sutlej,17/06/2025 0:00
Guddu,"121,373","90,219",Indus,17/06/2025 0:00
Ganda Singh Wala,300,360,Sutlej,17/06/2025 0:00
Chashma,"189,597","175,117",Indus,17/06/2025 0:00
Balloki,"32,170","6,870",Ravi,17/06/2025 0:00
Trimmu,"20,297","5,297",Chenab,17/06/2025 6:00
Taunsa,"162,605","137,105",Indus,17/06/2025 6:00
Tarbela Dam,"162,000","152,200",Indus,17/06/2025 6:00
