Name of Structure,Inflow_Discharge,Outflow_Discharge,River,Date
Taunsa,158775.00,133869.00,Indus,15/06/2025 6:00
Tarbela Dam,178000.00,151700.00,Indus,15/06/2025 6:00
Sulemanki,14862.00,2654.00,Sutlej,15/06/2025 6:00
Sukkur,80240.00,32400.00,Indus,15/06/2025 6:00
Sidhnai,11200.00,0.00,Ravi,15/06/2025 6:00
Rasul,14117.00,0.00,Jehlum,15/06/2025 6:00
Q.Abad,34601.00,16101.00,Chenab,15/06/2025 6:00
Panjnad,8654.00,0.00,Chenab,15/06/2025 6:00
Marala,59401.00,27571.00,Chenab,15/06/2025 6:00
Mangla Dam,35000.00,20000.00,Jehlum,15/06/2025 6:00
Kotri,50735.00,15780.00,Indus,15/06/2025 6:00
Khanki,33030.00,24910.00,Chenab,15/06/2025 6:00
Kalabagh,187823.00,180057.00,Indus,15/06/2025 6:00
KABUL,24700.00,24700.00,Kabul,15/06/2025 6:00
Jassar,466.00,466.00,Ravi,15/06/2025 6:00
Islam,1800.00,0.00,Sutlej,15/06/2025 6:00
Guddu,120939.00,90219.00,Indus,15/06/2025 6:00
Ganda Singh Wala,0.00,0.00,Sutlej,15/06/2025 6:00
Chashma,192904.00,178424.00,Indus,15/06/2025 6:00
Balloki,32715.00,5765.00,Ravi,15/06/2025 6:00
Trimmu,37455.00,20155.00,Chenab,15/06/2025 18:00
Taunsa,162421.00,133621.00,Indus,15/06/2025 18:00
Tarbela Dam,178000.00,151400.00,Indus,15/06/2025 18:00
Sulemanki,16001.00,2844.00,Sutlej,15/06/2025 18:00
Sukkur,80240.00,32400.00,Indus,15/06/2025 18:00
Sidhnai,15550.00,0.00,Ravi,15/06/2025 18:00
Shahdara,13306.00,13306.00,Ravi,15/06/2025 18:00
Rasul,24402.00,9341.00,Jehlum,15/06/2025 18:00
Q.Abad,18532.00,0.00,Chenab,15/06/2025 18:00
Panjnad,22862.00,9062.00,Chenab,15/06/2025 18:00
Marala,42137.00,11512.00,Chenab,15/06/2025 18:00
Mangla Dam,35000.00,20000.00,Jehlum,15/06/2025 18:00
Kotri,50735.00,15780.00,Indus,15/06/2025 18:00
Khanki,10055.00,1866.00,Chenab,15/06/2025 18:00
Kalabagh,140206.00,132590.00,Indus,15/06/2025 18:00
KABUL,23200.00,23200.00,Kabul,15/06/2025 18:00
Jassar,1378.00,1378.00,Ravi,15/06/2025 18:00
Islam,3727.00,1277.00,Sutlej,15/06/2025 18:00
Guddu,120939.00,90219.00,Indus,15/06/2025 18:00
Ganda Singh Wala,300.00,360.00,Sutlej,15/06/2025 18:00
Chashma,189715.00,175235.00,Indus,15/06/2025 18:00
Balloki,31790.00,5290.00,Ravi,15/06/2025 18:00
Taunsa,158775.00,133869.00,Indus,16/06/2025 6:00
Tarbela Dam,178000.00,152000.00,Indus,16/06/2025 6:00
Sulemanki,16000.00,2870.00,Sutlej,16/06/2025 6:00
Sukkur,83300.00,33560.00,Indus,16/06/2025 6:00
Sidhnai,15650.00,0.00,Ravi,16/06/2025 6:00
Shahdara,13304.00,13304.00,Ravi,16/06/2025 6:00
Rasul,24401.00,5340.00,Jehlum,16/06/2025 6:00
Q.Abad,44882.00,26182.00,Chenab,16/06/2025 6:00
Panjnad,21862.00,0.00,Chenab,16/06/2025 6:00
Marala,58421.00,27571.00,Chenab,16/06/2025 6:00
Mangla Dam,33000.00,15000.00,Jehlum,16/06/2025 6:00
Kotri,46370.00,11045.00,Indus,16/06/2025 6:00
Khanki,36370.00,28193.00,Chenab,16/06/2025 6:00
Kalabagh,140206.00,132590.00,Indus,16/06/2025 6:00
KABUL,22400.00,22400.00,Kabul,16/06/2025 6:00
Jassar,1370.00,1370.00,Ravi,16/06/2025 6:00
Islam,3527.00,0.00,Sutlej,16/06/2025 6:00
Guddu,120764.00,90219.00,Indus,16/06/2025 6:00
Ganda Singh Wala,300.00,360.00,Sutlej,16/06/2025 6:00
Chashma,187521.00,174347.00,Indus,16/06/2025 6:00
Balloki,32640.00,6340.00,Ravi,16/06/2025 6:00
Taunsa,162605.00,137105.00,Indus,16/06/2025 12:00
Tarbela Dam,175000.00,151700.00,Indus,16/06/2025 12:00
Sulemanki,14494.00,2987.00,Sutlej,16/06/2025 12:00
Sukkur,84270.00,35620.00,Indus,16/06/2025 12:00
Sidhnai,14700.00,0.00,Ravi,16/06/2025 12:00
Shahdara,13304.00,13304.00,Ravi,16/06/2025 12:00
Rasul,14497.00,0.00,Jehlum,16/06/2025 12:00
Q.Abad,34601.00,16101.00,Chenab,16/06/2025 12:00
Panjnad,7500.00,0.00,Chenab,16/06/2025 12:00
Marala,46136.00,15286.00,Chenab,16/06/2025 12:00
Mangla Dam,33000.00,15000.00,Jehlum,16/06/2025 12:00
Kotri,46370.00,11045.00,Indus,16/06/2025 12:00
Khanki,11056.00,1860.00,Chenab,16/06/2025 12:00
Kalabagh,194070.00,186304.00,Indus,16/06/2025 12:00
KABUL,22800.00,22800.00,Kabul,16/06/2025 12:00
Jassar,376.00,376.00,Ravi,16/06/2025 12:00
Islam,1650.00,0.00,Sutlej,16/06/2025 12:00
Guddu,120764.00,90219.00,Indus,16/06/2025 12:00
Ganda Singh Wala,300.00,360.00,Sutlej,16/06/2025 12:00
Chashma,189414.00,174934.00,Indus,16/06/2025 12:00
Balloki,32640.00,6340.00,Ravi,16/06/2025 12:00
Taunsa,162605.00,137105.00,Indus,16/06/2025 18:00
Sulemanki,14494.00,2987.00,Sutlej,16/06/2025 18:00
Sukkur,84740.00,35800.00,Indus,16/06/2025 18:00
Sidhnai,15500.00,0.00,Ravi,16/06/2025 18:00
Shahdara,13304.00,13304.00,Ravi,16/06/2025 18:00
Rasul,14497.00,0.00,Jehlum,16/06/2025 18:00
Q.Abad,30812.00,12312.00,Chenab,16/06/2025 18:00
Panjnad,7500.00,0.00,Chenab,16/06/2025 18:00
Marala,61232.00,30382.00,Chenab,16/06/2025 18:00
Mangla Dam,30000.00,15000.00,Jehlum,16/06/2025 18:00
Khanki,43242.00,35042.00,Chenab,16/06/2025 18:00
Kalabagh,194070.00,186304.00,Indus,16/06/2025 18:00
Jassar,376.00,376.00,Ravi,16/06/2025 18:00
Islam,1650.00,0.00,Sutlej,16/06/2025 18:00
Guddu,121373.00,90219.00,Indus,16/06/2025 18:00
Ganda Singh Wala,300.00,360.00,Sutlej,16/06/2025 18:00
Chashma,189414.00,174934.00,Indus,16/06/2025 18:00
Balloki,32170.00,6340.00,Ravi,16/06/2025 18:00
Taunsa,162605.00,137105.00,Indus,17/06/2025 0:00
Sulemanki,14161.00,2654.00,Sutlej,17/06/2025 0:00
Sukkur,84740.00,35800.00,Indus,17/06/2025 0:00
Sidhnai,15500.00,0.00,Ravi,17/06/2025 0:00
Shahdara,13304.00,13304.00,Ravi,17/06/2025 0:00
Rasul,11751.00,0.00,Jehlum,17/06/2025 0:00
Q.Abad,34601.00,16101.00,Chenab,17/06/2025 0:00
Panjnad,7500.00,0.00,Chenab,17/06/2025 0:00
Marala,61282.00,30382.00,Chenab,17/06/2025 0:00
Mangla Dam,25000.00,15000.00,Jehlum,17/06/2025 0:00
Kalabagh,176756.00,168990.00,Indus,17/06/2025 0:00
Jassar,376.00,376.00,Ravi,17/06/2025 0:00
Islam,1650.00,0.00,Sutlej,17/06/2025 0:00
Guddu,121373.00,90219.00,Indus,17/06/2025 0:00
Ganda Singh Wala,300.00,360.00,Sutlej,17/06/2025 0:00
Chashma,189597.00,175117.00,Indus,17/06/2025 0:00
Balloki,32170.00,6870.00,Ravi,17/06/2025 0:00
Trimmu,20297.00,5297.00,Chenab,17/06/2025 6:00
Taunsa,162605.00,137105.00,Indus,17/06/2025 6:00
Tarbela Dam,162000.00,152200.00,Indus,17/06/2025 6:00
Sulemanki,14161.00,2654.00,Sutlej,17/06/2025 6:00
Sukkur,85880.00,36190.00,Indus,17/06/2025 6:00
Sidhnai,15500.00,0.00,Ravi,17/06/2025 6:00
Shahdara,13304.00,13304.00,Ravi,17/06/2025 6:00
Rasul,9481.00,0.00,Jehlum,17/06/2025 6:00
Q.Abad,34601.00,18500.00,Chenab,17/06/2025 6:00
Panjnad,7500.00,0.00,Chenab,17/06/2025 6:00
Marala,46136.00,15286.00,Chenab,17/06/2025 6:00
Mangla Dam,25000.00,15000.00,Jehlum,17/06/2025 6:00
Khanki,11056.00,1860.00,Chenab,17/06/2025 6:00
Kalabagh,176756.00,168990.00,Indus,17/06/2025 6:00
KABUL,21800.00,21800.00,Kabul,17/06/2025 6:00
