Date,Name of Structure,Inflow_Discharge,Outflow_Discharge,River
01/07/2025 6:00,Pong Dam,95347,6000,Byas
02/07/2025 6:00,Pong Dam,203953,7501,Byas
03/07/2025 6:00,Pong Dam,26547,13267,Byas
04/07/2025 6:00,Pong Dam,29079,18505,Byas
07/07/2025 6:00,Pong Dam,47332,26985,Byas
11/07/2025 6:00,Pong Dam,22567,17462,Byas
14/07/2025 6:00,Pong Dam,30804,17496,Byas
15/07/2025 6:00,Pong Dam,22179,17439,Byas
16/07/2025 6:00,Pong Dam,21815,17439,Byas
17/07/2025 6:00,Pong Dam,21757,17382,Byas
18/07/2025 6:00,Pong Dam,24177,17614,Byas
21/07/2025 6:00,Pong Dam,23945,18496,Byas
22/07/2025 6:00,Pong Dam,139639,3838,Byas
23/07/2025 6:00,Pong Dam,75676,13015,Byas
24/07/2025 6:00,Pong Dam,49980,15007,Byas
28/07/2025 6:00,Pong Dam,25668,18199,Byas
29/07/2025 6:00,Pong Dam,12848,17501,Byas
30/07/2025 6:00,Pong Dam,129931,14010,Byas
31/07/2025 6:00,Pong Dam,125692,10010,Byas
01/08/2025 6:00,Pong Dam,86759,15739,Byas
04/08/2025 6:00,Pong Dam,55310,18506,Byas
05/08/2025 6:00,Pong Dam,59337,18386,Byas
07/08/2025 6:00,Pong Dam,23039,20577,Byas
08/08/2025 6:00,Pong Dam,72657,38433,Byas
11/08/2025 6:00,Pong Dam,46826,55861,Byas
12/08/2025 6:00,Pong Dam,51797,55904,Byas
13/08/2025 6:00,Pong Dam,99953,56968,Byas
14/08/2025 6:00,Pong Dam,54765,57776,Byas
18/08/2025 6:00,Pong Dam,129948,59301,Byas
19/08/2025 6:00,Pong Dam,84083,59862,Byas
20/08/2025 6:00,Pong Dam,59835,59835,Byas
22/08/2025 6:00,Pong Dam,59278,70798,Byas
23/08/2025 6:00,Pong Dam,38395,74427,Byas
24/08/2025 6:00,Pong Dam,45413,65499,Byas
25/08/2025 6:00,Pong Dam,108782,38186,Byas
26/08/2025 6:00,Pong Dam,204546,69852,Byas
26/08/2025 7:30,Pong Dam,171278,60215,Byas
27/08/2025 6:00,Pong Dam,228091,81358,Byas
28/08/2025 6:00,Pong Dam,110224,94845,Byas
29/08/2025 6:00,Pong Dam,53223,100614,Byas
30/08/2025 6:00,Pong Dam,76666,105854,Byas
31/08/2025 6:00,Pong Dam,116163,104865,Byas
31/08/2025 18:00,Pong Dam,87008,109919,Byas
01/09/2025 6:00,Pong Dam,84498,109920,Byas
02/09/2025 6:00,Pong Dam,96777,95836,Byas
02/09/2025 18:00,Pong Dam,108863,82500,Byas
03/09/2025 6:00,Pong Dam,160183,79837,Byas
04/09/2025 6:00,Pong Dam,132595,91167,Byas
