Name of Structure,Inflow_Discharge,Outflow_Discharge,River,Date
Taunsa,158775,133869,Indus,15/06/2025 6:00
Tarbela Dam,178000,151700,Indus,15/06/2025 6:00
Sulemanki,14862,2654,Sutlej,15/06/2025 6:00
Sukkur,80240,32400,Indus,15/06/2025 6:00
Sidhnai,11200,0,Ravi,15/06/2025 6:00
Rasul,14117,0,Jehlum,15/06/2025 6:00
Q.Abad,34601,16101,Chenab,15/06/2025 6:00
Panjnad,8654,0,Chenab,15/06/2025 6:00
Marala,59401,27571,Chenab,15/06/2025 6:00
Mangla Dam,35000,20000,Jehlum,15/06/2025 6:00
Kotri,50735,15780,Indus,15/06/2025 6:00
Khanki,33030,24910,Chenab,15/06/2025 6:00
Kalabagh,187823,180057,Indus,15/06/2025 6:00
KABUL,24700,24700,Kabul,15/06/2025 6:00
Jassar,466,466,Ravi,15/06/2025 6:00
Islam,1800,0,Sutlej,15/06/2025 6:00
Guddu,120939,90219,Indus,15/06/2025 6:00
Ganda Singh Wala,0,0,Sutlej,15/06/2025 6:00
Chashma,192904,178424,Indus,15/06/2025 6:00
Balloki,32715,5765,Ravi,15/06/2025 6:00
Trimmu,37455,20155,Chenab,15/06/2025 18:00
Taunsa,162421,133621,Indus,15/06/2025 18:00
Tarbela Dam,178000,151400,Indus,15/06/2025 18:00
Sulemanki,16001,2844,Sutlej,15/06/2025 18:00
Sukkur,80240,32400,Indus,15/06/2025 18:00
Sidhnai,15550,0,Ravi,15/06/2025 18:00
Shahdara,13306,13306,Ravi,15/06/2025 18:00
Rasul,24402,9341,Jehlum,15/06/2025 18:00
Q.Abad,18532,0,Chenab,15/06/2025 18:00
Panjnad,22862,9062,Chenab,15/06/2025 18:00
Marala,42137,11512,Chenab,15/06/2025 18:00
Mangla Dam,35000,20000,Jehlum,15/06/2025 18:00
Kotri,50735,15780,Indus,15/06/2025 18:00
Khanki,10055,1866,Chenab,15/06/2025 18:00
Kalabagh,140206,132590,Indus,15/06/2025 18:00
KABUL,23200,23200,Kabul,15/06/2025 18:00
Jassar,1378,1378,Ravi,15/06/2025 18:00
Islam,3727,1277,Sutlej,15/06/2025 18:00
Guddu,120939,90219,Indus,15/06/2025 18:00
Ganda Singh Wala,300,360,Sutlej,15/06/2025 18:00
Chashma,189715,175235,Indus,15/06/2025 18:00
Balloki,31790,5290,Ravi,15/06/2025 18:00
Taunsa,158775,133869,Indus,16/06/2025 6:00
Tarbela Dam,178000,152000,Indus,16/06/2025 6:00
Sulemanki,16000,2870,Sutlej,16/06/2025 6:00
Sukkur,83300,33560,Indus,16/06/2025 6:00
Sidhnai,15650,0,Ravi,16/06/2025 6:00
Shahdara,13304,13304,Ravi,16/06/2025 6:00
Rasul,24401,5340,Jehlum,16/06/2025 6:00
Q.Abad,44882,26182,Chenab,16/06/2025 6:00
Panjnad,21862,0,Chenab,16/06/2025 6:00
Marala,58421,27571,Chenab,16/06/2025 6:00
Mangla Dam,33000,15000,Jehlum,16/06/2025 6:00
Kotri,46370,11045,Indus,16/06/2025 6:00
Khanki,36370,28193,Chenab,16/06/2025 6:00
Kalabagh,140206,132590,Indus,16/06/2025 6:00
KABUL,22400,22400,Kabul,16/06/2025 6:00
Jassar,1370,1370,Ravi,16/06/2025 6:00
Islam,3527,0,Sutlej,16/06/2025 6:00
Guddu,120764,90219,Indus,16/06/2025 6:00
Ganda Singh Wala,300,360,Sutlej,16/06/2025 6:00
Chashma,187521,174347,Indus,16/06/2025 6:00
Balloki,32640,6340,Ravi,16/06/2025 6:00
Taunsa,162605,137105,Indus,16/06/2025 12:00
Tarbela Dam,175000,151700,Indus,16/06/2025 12:00
Sulemanki,14494,2987,Sutlej,16/06/2025 12:00
Sukkur,84270,35620,Indus,16/06/2025 12:00
Sidhnai,14700,0,Ravi,16/06/2025 12:00
Shahdara,13304,13304,Ravi,16/06/2025 12:00
Rasul,14497,0,Jehlum,16/06/2025 12:00
Q.Abad,34601,16101,Chenab,16/06/2025 12:00
Panjnad,7500,0,Chenab,16/06/2025 12:00
Marala,46136,15286,Chenab,16/06/2025 12:00
Mangla Dam,33000,15000,Jehlum,16/06/2025 12:00
Kotri,46370,11045,Indus,16/06/2025 12:00
Khanki,11056,1860,Chenab,16/06/2025 12:00
Kalabagh,194070,186304,Indus,16/06/2025 12:00
KABUL,22800,22800,Kabul,16/06/2025 12:00
Jassar,376,376,Ravi,16/06/2025 12:00
Islam,1650,0,Sutlej,16/06/2025 12:00
Guddu,120764,90219,Indus,16/06/2025 12:00
Ganda Singh Wala,300,360,Sutlej,16/06/2025 12:00
Chashma,189414,174934,Indus,16/06/2025 12:00
Balloki,32640,6340,Ravi,16/06/2025 12:00
Taunsa,162605,137105,Indus,16/06/2025 18:00
Sulemanki,14494,2987,Sutlej,16/06/2025 18:00
Sukkur,84740,35800,Indus,16/06/2025 18:00
Sidhnai,15500,0,Ravi,16/06/2025 18:00
Shahdara,13304,13304,Ravi,16/06/2025 18:00
Rasul,14497,0,Jehlum,16/06/2025 18:00
Q.Abad,30812,12312,Chenab,16/06/2025 18:00
Panjnad,7500,0,Chenab,16/06/2025 18:00
Marala,61232,30382,Chenab,16/06/2025 18:00
Mangla Dam,30000,15000,Jehlum,16/06/2025 18:00
Khanki,43242,35042,Chenab,16/06/2025 18:00
Kalabagh,194070,186304,Indus,16/06/2025 18:00
Jassar,376,376,Ravi,16/06/2025 18:00
Islam,1650,0,Sutlej,16/06/2025 18:00
Guddu,121373,90219,Indus,16/06/2025 18:00
Ganda Singh Wala,300,360,Sutlej,16/06/2025 18:00
Chashma,189414,174934,Indus,16/06/2025 18:00
Balloki,32170,6340,Ravi,16/06/2025 18:00
Taunsa,162605,137105,Indus,17/06/2025 0:00
Sulemanki,14161,2654,Sutlej,17/06/2025 0:00
Sukkur,84740,35800,Indus,17/06/2025 0:00
Sidhnai,15500,0,Ravi,17/06/2025 0:00
Shahdara,13304,13304,Ravi,17/06/2025 0:00
Rasul,11751,0,Jehlum,17/06/2025 0:00
Q.Abad,34601,16101,Chenab,17/06/2025 0:00
Panjnad,7500,0,Chenab,17/06/2025 0:00
Marala,61282,30382,Chenab,17/06/2025 0:00
Mangla Dam,25000,15000,Jehlum,17/06/2025 0:00
Kalabagh,176756,168990,Indus,17/06/2025 0:00
Jassar,376,376,Ravi,17/06/2025 0:00
Islam,1650,0,Sutlej,17/06/2025 0:00
Guddu,121373,90219,Indus,17/06/2025 0:00
Ganda Singh Wala,300,360,Sutlej,17/06/2025 0:00
Chashma,189597,175117,Indus,17/06/2025 0:00
Balloki,32170,6870,Ravi,17/06/2025 0:00
Trimmu,20297,5297,Chenab,17/06/2025 6:00
Taunsa,162605,137105,Indus,17/06/2025 6:00
Tarbela Dam,162000,152200,Indus,17/06/2025 6:00
Sulemanki,14161,2654,Sutlej,17/06/2025 6:00
Sukkur,85880,36190,Indus,17/06/2025 6:00
Sidhnai,15500,0,Ravi,17/06/2025 6:00
Shahdara,13304,13304,Ravi,17/06/2025 6:00
Rasul,9481,0,Jehlum,17/06/2025 6:00
Q.Abad,34601,18500,Chenab,17/06/2025 6:00
Panjnad,7500,0,Chenab,17/06/2025 6:00
Marala,46136,15286,Chenab,17/06/2025 6:00
Mangla Dam,25000,15000,Jehlum,17/06/2025 6:00
Khanki,11056,1860,Chenab,17/06/2025 6:00
Kalabagh,176756,168990,Indus,17/06/2025 6:00
KABUL,21800,21800,Kabul,17/06/2025 6:00
